Centerline IDX,Volume,Distance,Filter radius
210,39.00809838419488,15,3
211,37.61329448963877,15,3
212,34.991725190996206,15,3
213,32.10439773049393,15,3
214,28.705554519014054,15,3
215,26.88809885721196,15,3
216,23.965307802566294,15,3
217,2.8474739999888152,15,3
218,1.6533677210802757,15,3
219,0.8764655398828518,15,3
220,0.09820342531007659,15,3
221,0.9490903890562927,15,3
222,8.967897204966583,15,3
223,3.038888306062641,15,3
224,7.051323462026782,15,3
225,8.115741665142444,15,3
226,10.37703460909134,15,3
227,6.437885152527911,15,3
228,4.0197213327389445,15,3
229,3.546972590703755,15,3
230,1.8044405856625896,15,3
231,73.40844277067194,15,3
232,0.0,15,3
233,0.0,15,3
234,0.0,15,3
235,0.0,15,3
236,0.0,15,3
237,0.0,15,3
238,0.0,15,3
239,0.0,15,3
240,0.0,15,3
241,0.0,15,3
242,0.0,15,3
243,0.0,15,3
244,0.0,15,3
245,0.0,15,3
246,9.472061468790761,15,3
247,9.781886392537096,15,3
248,10.000894748403924,15,3
249,10.40684468437135,15,3
250,10.474286078408898,15,3
251,10.526772872798398,15,3
252,10.725520381441589,15,3
253,10.9388334897697,15,3
254,10.9924063043726,15,3
255,11.121055602075758,15,3
256,10.980344013743599,15,3
257,11.472081817506297,15,3
258,11.490131513934156,15,3
259,11.811626432291659,15,3
260,12.030184845295999,15,3
261,12.471268240955261,15,3
262,13.003980334177443,15,3
263,13.58118822047522,15,3
264,13.896107090475335,15,3
265,14.265524578996196,15,3
266,14.844084614911445,15,3
267,15.020050709765819,15,3
268,15.122210233687287,15,3
269,15.539546489093297,15,3
270,15.44674986507616,15,3
271,15.251611543530213,15,3
272,15.761646964528158,15,3
273,15.10052605878498,15,3
274,15.392337401760075,15,3
275,15.315505216222697,15,3
276,15.4842373736583,15,3
277,15.37239519333358,15,3
278,15.881955719846134,15,3
279,15.398961657824747,15,3
280,15.934611382811447,15,3
281,15.825064369561137,15,3
282,16.113756651876717,15,3
283,15.835003829665329,15,3
284,15.763066354240454,15,3
285,15.852609560238598,15,3
286,15.77850649700266,15,3
287,15.367271435261024,15,3
288,15.360251703454654,15,3
289,15.474195394433462,15,3
290,15.317676735377706,15,3
291,15.350933559771327,15,3
292,15.208159074990448,15,3
293,15.360660967211416,15,3
294,15.30230311984888,15,3
295,15.207403072564693,15,3
296,14.559808025821278,15,3
297,14.336052207601483,15,3
298,14.545208853546255,15,3
299,13.774064385064257,15,3
300,13.955949251956635,15,3
301,13.796017282083497,15,3
302,13.884402114733845,15,3
303,13.720737272513016,15,3
304,13.75745613732098,15,3
305,13.431536431193216,15,3
306,13.654553673740498,15,3
307,13.633156201754087,15,3
308,13.691172432594815,15,3
309,14.049153420128585,15,3
310,13.93871308058624,15,3
311,14.018020939992923,15,3
312,14.500387097967275,15,3
313,14.550339591002682,15,3
314,15.05701727185632,15,3
315,15.547539456192496,15,3
316,16.364830314460377,15,3
317,16.977692679003283,15,3
318,17.63941142146169,15,3
319,18.418079213952,15,3
320,18.769187273276223,15,3
321,19.932190303836823,15,3
322,20.802920249053415,15,3
323,21.49653814858638,15,3
324,21.682097939110456,15,3
325,22.380723862446,15,3
326,22.196769340081374,15,3
327,23.404705429195396,15,3
328,22.969472697322324,15,3
329,23.03291588139485,15,3
330,22.65690755380696,15,3
331,22.110999189512803,15,3
332,21.486351635192868,15,3
333,20.972780663417694,15,3
334,20.579449748165402,15,3
335,20.07364012002011,15,3
336,18.935922643544238,15,3
337,18.76378156727835,15,3
338,18.19015904968037,15,3
339,17.289971083422536,15,3
340,16.393108433285125,15,3
341,15.972563877126522,15,3
342,15.665129426809765,15,3
343,15.630564811598086,15,3
344,15.005635765142772,15,3
345,15.252092033797032,15,3
346,15.528970685353656,15,3
347,15.722020867795095,15,3
348,15.782656097705402,15,3
349,15.89175613497529,15,3
350,16.197070809859284,15,3
351,16.437640313033516,15,3
352,16.749531845182137,15,3
353,17.152714253650334,15,3
354,17.67615792034858,15,3
355,17.79744343768396,15,3
356,18.530758377612102,15,3
357,19.076236454552866,15,3
358,19.32756592531075,15,3
359,19.83073473118847,15,3
360,20.721663492705552,15,3
361,20.76985459612555,15,3
362,21.872247596067396,15,3
363,22.449403132935306,15,3
364,23.187733052149152,15,3
365,23.770468594611224,15,3
366,24.719437964101132,15,3
367,25.43079465207089,15,3
368,25.096151197735615,15,3
369,26.517411660231353,15,3
370,26.032719056609803,15,3
371,26.229882002756398,15,3
372,26.228361483133106,15,3
373,26.121117688608386,15,3
