Centerline IDX,Volume,Distance,Filter radius
137,14.80848239872213,15,3
138,15.233505067471022,15,3
139,15.233268359299188,15,3
140,15.782343388735846,15,3
141,15.79348437852977,15,3
142,15.753596679541637,15,3
143,15.618414800260247,15,3
144,16.018370097985443,15,3
145,15.43543366202062,15,3
146,15.286200296679507,15,3
147,14.800761056423287,15,3
148,14.180634282097467,15,3
149,13.457838517000642,15,3
150,12.77822294827938,15,3
151,155.02995431037624,15,3
152,167.01788924008125,15,3
153,168.10433568212113,15,3
154,160.23292139851483,15,3
155,159.6000377783862,15,3
156,155.49948896672748,15,3
157,154.6504588763446,15,3
158,153.4326647754135,15,3
159,141.1561734165454,15,3
160,146.07357751033663,15,3
161,139.7658676471782,15,3
162,136.2499386456554,15,3
163,133.04091038181167,15,3
164,124.47396840885396,15,3
165,111.05525030179794,15,3
166,46.48806931285088,15,3
167,44.65533691292469,15,3
168,46.02465585472928,15,3
169,46.63882546028798,15,3
170,45.05786548184494,15,3
171,46.77320012177172,15,3
172,45.55957339607389,15,3
173,46.17169955656435,15,3
174,46.20383065237105,15,3
175,46.21944477793561,15,3
176,46.7881396473958,15,3
177,46.96046937216859,15,3
178,46.31235702565584,15,3
179,46.84339147719291,15,3
180,45.972527032568664,15,3
181,45.565779724482695,15,3
182,45.60151074259031,15,3
183,45.10957110256825,15,3
184,44.62341892939794,15,3
185,44.53386318619381,15,3
186,44.24327217580674,15,3
187,44.776536299013586,15,3
188,45.33445889548613,15,3
189,45.972096592062535,15,3
190,44.81946546866622,15,3
191,45.52343479361147,15,3
192,44.736271994928636,15,3
193,44.36766372866458,15,3
194,43.95959816901923,15,3
195,41.68770047684314,15,3
196,42.062468987369755,15,3
197,41.548875227459405,15,3
198,39.634659330118225,15,3
199,38.48496598699561,15,3
200,39.78863853822587,15,3
201,38.26735073603072,15,3
202,39.4859053041629,15,3
203,39.3590038963587,15,3
204,40.903653534047095,15,3
205,37.726206757269,15,3
206,41.38070615213887,15,3
207,40.851853514597366,15,3
208,44.09927066389736,15,3
209,41.03972606681454,15,3
210,38.90679111262328,15,3
211,37.149281727965295,15,3
212,34.63346797284304,15,3
213,33.38249733683418,15,3
214,30.446784979637506,15,3
215,26.941736193108408,15,3
216,25.288302579450978,15,3
217,4.756882096016089,15,3
218,2.321980992680342,15,3
219,1.0365674154443854,15,3
220,0.9251625960758706,15,3
221,0.21678016678816148,15,3
222,9.695133982320538,15,3
223,2.9206049163198484,15,3
224,10.673642047399245,15,3
225,4.809369232344097,15,3
226,9.461400461775751,15,3
227,9.141097906376782,15,3
228,4.278959867554567,15,3
229,3.587633920574529,15,3
230,2.012536150841724,15,3
231,75.18847652459985,15,3
232,0.0,15,3
233,0.0,15,3
234,0.0,15,3
235,0.0,15,3
236,0.0,15,3
237,0.0,15,3
238,0.0,15,3
239,0.0,15,3
240,0.0,15,3
241,0.0,15,3
242,0.0,15,3
243,0.0,15,3
244,0.0,15,3
245,0.0,15,3
246,9.389192166709568,15,3
247,9.829859891843693,15,3
248,10.071381508367164,15,3
249,10.333987083349552,15,3
250,10.388925292472631,15,3
251,10.77149062033354,15,3
252,10.666462044773168,15,3
253,10.640144176710649,15,3
254,11.14129739916081,15,3
