Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (26.9037, -201.4906, 1864.2808) connects to:
    Branch Segment 2
    Branch Segment 5

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz       Dfit       Dmin       Dmax          C         Dh         Xh        Scf       Area          E
   19.4145  -202.2797  1860.1914     0.1625     0.7873     0.5948     0.0348    -0.6070     0.7939     0.9861    -0.1083    -0.1260    11.3823     6.8972    17.8085     0.1627    10.3268     0.5799    38.1831    98.5774     0.6386
   19.4496  -202.1132  1860.3220     0.1652     0.7646     0.6230     0.1105    -0.6421     0.7587     0.9800    -0.0565    -0.1906    11.3955     6.8279    18.5420     0.1760    10.3425     0.5578    38.2762    98.9680     0.5855
   19.4852  -201.9528  1860.4578     0.1685     0.7402     0.6509     0.0644    -0.6672     0.7421     0.9836    -0.0831    -0.1601    11.3025     6.7528    18.2596     0.1731    10.3966     0.5694    37.7758    98.1849     0.4989
   19.5213  -201.7986  1860.5986     0.1729     0.7147     0.6778     0.1692    -0.6994     0.6944     0.9703    -0.0053    -0.2419    11.1461     6.6698    17.9562     0.1797    10.2344     0.5700    37.4106    95.7186     0.4046
   19.5583  -201.6510  1860.7440     0.1784     0.6877     0.7038     0.1204    -0.7251     0.6780     0.9766    -0.0362    -0.2122    10.7764     6.5877    16.1290     0.1807    10.0824     0.6251    35.8769    90.4314     0.4500
   19.5962  -201.5101  1860.8938     0.1847     0.6596     0.7286     0.2091    -0.7507     0.6267     0.9603     0.0366    -0.2765    10.3359     6.4981    16.4518     0.1826     9.5873     0.5827    34.5304    82.7629     0.5578
   19.6354  -201.3760  1861.0477     0.1925     0.6303     0.7521     0.1983    -0.7756     0.5993     0.9611     0.0338    -0.2742     9.4614     6.4594    13.0432     0.1867     9.0884     0.6968    30.8321    70.0535     0.4802
   19.6760  -201.2490  1861.2053     0.2012     0.5998     0.7744     0.2518    -0.7957     0.5508     0.9466     0.0842    -0.3112     8.8445     6.4555    11.5216     0.1899     8.4706     0.7352    28.8843    61.1666     0.4689
   19.7183  -201.1291  1861.3664     0.2109     0.5685     0.7952     0.2491    -0.8179     0.5187     0.9452     0.0887    -0.3141     8.3155     6.4337    10.5786     0.1880     8.0954     0.7653    26.6956    54.0279     0.4896
   19.7624  -201.0164  1861.5305     0.2222     0.5367     0.8140     0.3311    -0.8268     0.4548     0.9171     0.1684    -0.3614     8.0177     6.3675    10.0326     0.1911     7.7939     0.7769    25.7622    50.1968     0.5016
   19.8087  -200.9109  1861.6972     0.2347     0.5043     0.8310     0.3159    -0.8480     0.4255     0.9193     0.1627    -0.3583     7.7431     6.2737     9.2497     0.1907     7.5432     0.8155    24.8533    46.8685     0.4887
   19.8573  -200.8127  1861.8661     0.2487     0.4708     0.8465     0.3923    -0.8480     0.3564     0.8856     0.2434    -0.3956     7.5022     6.1536     8.5083     0.2022     7.2643     0.8538    24.2617    44.0614     0.4732
   19.9086  -200.7219  1862.0368     0.2639     0.4372     0.8598     0.3822    -0.8658     0.3230     0.8856     0.2434    -0.3956     7.3479     5.9958     8.2191     0.1896     7.1880     0.8745    23.4916    42.2143     0.4950
   19.9626  -200.6383  1862.2088     0.2802     0.4039     0.8709     0.4538    -0.8551     0.2506     0.8459     0.3250    -0.4229     7.2367     5.8337     8.1957     0.2006     7.1047     0.8669    23.0574    40.9538     0.5187
   20.0197  -200.5619  1862.3817     0.2981     0.3698     0.8800     0.4552    -0.8654     0.2095     0.8390     0.3381    -0.4264     7.1422     5.6860     8.1719     0.1999     7.0138     0.8583    22.7426    39.8777     0.5374
   20.0800  -200.4927  1862.5550     0.3172     0.3358     0.8869     0.5057    -0.8510     0.1414     0.8023     0.4037    -0.4398     7.0479     5.5353     8.1460     0.2046     6.9132     0.8487    22.4539    38.8070     0.5552
   20.1438  -200.4306  1862.7282     0.3383     0.3019     0.8913     0.5423    -0.8366     0.0775     0.7691     0.4571    -0.4467     6.9464     5.3815     8.1192     0.2081     6.8086     0.8386    22.1402    37.6861     0.5680
   20.2113  -200.3755  1862.9007     0.3603     0.2683     0.8934     0.5517    -0.8336     0.0278     0.7522     0.4828    -0.4483     6.8586     5.3169     8.0939     0.2085     6.7200     0.8303    21.8515    36.7105     0.5828
   20.2827  -200.3272  1863.0723     0.3837     0.2346     0.8932     0.5875    -0.8083    -0.0401     0.7125     0.5401    -0.4480     6.7881     5.3025     8.0741     0.2191     6.6329     0.8215    21.6657    35.9265     0.5934
   20.3581  -200.2857  1863.2422     0.4079     0.2013     0.8905     0.5866    -0.8053    -0.0867     0.6997     0.5577    -0.4466     6.7083     5.1335     8.0520     0.2142     6.5305     0.8110    21.4660    35.0460     0.6063
   20.4376  -200.2507  1863.4101     0.4338     0.1691     0.8850     0.6500    -0.7389    -0.1775     0.6239     0.6523    -0.4305     6.6114     4.9547     8.1594     0.2282     6.4148     0.7862    21.2052    34.0070     0.6182
   20.5216  -200.2220  1863.5754     0.4614     0.1365     0.8766     0.6181    -0.7583    -0.2072     0.6365     0.6374    -0.4343     6.5144     4.7745     8.2516     0.2352     6.2915     0.7625    20.9355    32.9290     0.6284
   20.6100  -200.1996  1863.7376     0.4888     0.1047     0.8661     0.6459    -0.7107    -0.2786     0.5864     0.6956    -0.4150     6.4093     4.5343     8.1042     0.2307     6.1668     0.7609    20.6451    31.8283     0.6377
   20.7029  -200.1831  1863.8963     0.5180     0.0739     0.8522     0.6603    -0.6678    -0.3435     0.5437     0.7407    -0.3947     6.3079     4.2940     7.9507     0.2539     6.0649     0.7628    20.3456    30.8485     0.6361
   20.8006  -200.1724  1864.0510     0.5476     0.0429     0.8357     0.6273    -0.6820    -0.3760     0.5538     0.7301    -0.4004     6.2158     4.0878     7.9243     0.2467     5.9682     0.7532    20.0895    29.9748     0.6310
   20.9029  -200.1673  1864.2013     0.5779     0.0136     0.8160     0.6702    -0.5784    -0.4651     0.4656     0.8157    -0.3434     6.1381     3.9637     7.8925     0.2668     5.8867     0.7459    19.8574    29.2238     0.6318
   21.0101  -200.1674  1864.3466     0.6089    -0.0149     0.7931     0.6217    -0.6121    -0.4887     0.4928     0.7906    -0.3634     6.0886     3.9165     7.8587     0.2633     5.8382     0.7429    19.7059    28.7618     0.6224
   21.1220  -200.1726  1864.4866     0.6397    -0.0427     0.7675     0.6369    -0.5295    -0.5604     0.4303     0.8473    -0.3115     6.0493     3.8825     7.8230     0.2822     5.8197     0.7439    19.5490    28.4426     0.6023
   21.2388  -200.1826  1864.6208     0.6708    -0.0695     0.7383     0.6002    -0.5338    -0.5956     0.4355     0.8427    -0.3164     6.0026     3.8571     7.7846     0.2833     5.7778     0.7422    19.4077    28.0336     0.5832
   21.3603  -200.1972  1864.7488     0.7013    -0.0948     0.7065     0.5977    -0.4618    -0.6554     0.3884     0.8819    -0.2672     5.9682     3.8451     7.7370     0.2914     5.7394     0.7418    19.3299    27.7357     0.5634
   21.4866  -200.2160  1864.8703     0.7314    -0.1184     0.6716     0.5639    -0.4488    -0.6932     0.3835     0.8858    -0.2615     5.9506     3.7941     7.6785     0.2957     5.7232     0.7454    19.2902    27.6004     0.5340
   21.6175  -200.2388  1864.9849     0.7604    -0.1413     0.6339     0.5337    -0.4202    -0.7339     0.3701     0.8963    -0.2441     5.9087     3.7634     7.6421     0.3058     5.6751     0.7426    19.1851    27.2192     0.5251
   21.7530  -200.2654  1865.0923     0.7884    -0.1622     0.5934     0.5129    -0.3593    -0.7797     0.3396     0.9190    -0.2000     5.8637     3.6294     7.5975     0.3069     5.6001     0.7371    19.1483    26.8083     0.5150
