Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
  -15.2617  -230.6812  1708.9204    -0.4396    -0.3204    -0.8391    -0.8333     0.4942     0.2478     0.3353     0.8081    -0.4842
  -15.6474  -230.9521  1708.1999    -0.4567    -0.3080    -0.8346    -0.7501     0.6378     0.1751     0.4784     0.7060    -0.5222
  -16.0489  -231.2106  1707.4805    -0.4726    -0.2899    -0.8322    -0.5522     0.8334     0.0233     0.6868     0.4706    -0.5539
  -16.4599  -231.4504  1706.7639    -0.4813    -0.2670    -0.8349    -0.1375     0.9637    -0.2289     0.8657     0.0046    -0.5005
  -16.8699  -231.6672  1706.0493    -0.4795    -0.2418    -0.8436     0.2496     0.8840    -0.3953     0.8413    -0.4001    -0.3635
  -17.2662  -231.8594  1705.3338    -0.4595    -0.2152    -0.8617     0.6614     0.5647    -0.4937     0.5928    -0.7968    -0.1172
  -17.7477  -232.0787  1704.3784    -0.4264    -0.1910    -0.8841     0.8007     0.3749    -0.4672     0.4207    -0.9072    -0.0069
  -17.9794  -232.1829  1703.8824    -0.4023    -0.1825    -0.8971     0.8619     0.2547    -0.4384     0.3086    -0.9496     0.0549
  -18.2908  -232.3283  1703.1384    -0.3620    -0.1752    -0.9155     0.9322    -0.0684    -0.3555    -0.0003    -0.9821     0.1881
  -18.5797  -232.4743  1702.3801    -0.3402    -0.1798    -0.9230     0.8944    -0.3651    -0.2585    -0.2906    -0.9134     0.2850
  -18.8586  -232.6279  1701.6095    -0.3321    -0.1895    -0.9240    -0.1311    -0.9608     0.2441    -0.9341     0.2023     0.2942
  -19.1419  -232.7928  1700.8311    -0.3413    -0.2006    -0.9183    -0.7864    -0.4743     0.3958    -0.5149     0.8572     0.0041
  -19.4419  -232.9675  1700.0512    -0.3633    -0.2076    -0.9083    -0.9115    -0.1226     0.3926    -0.1929     0.9705    -0.1446
  -19.7659  -233.1457  1699.2761    -0.3915    -0.2055    -0.8969    -0.9082     0.2430     0.3408     0.1479     0.9480    -0.2818
  -20.1137  -233.3169  1698.5101    -0.4178    -0.1911    -0.8882    -0.7280     0.6553     0.2015     0.5435     0.7308    -0.4129
  -20.4780  -233.4687  1697.7545    -0.4348    -0.1626    -0.8858    -0.2806     0.9591    -0.0383     0.8557     0.2319    -0.4626
  -20.8459  -233.5888  1697.0069    -0.4362    -0.1206    -0.8917     0.1513     0.9670    -0.2048     0.8870    -0.2242    -0.4036
  -21.2023  -233.6680  1696.2615    -0.4192    -0.0688    -0.9053     0.4163     0.8716    -0.2590     0.8068    -0.4854    -0.3367
  -21.5337  -233.7017  1695.5107    -0.3850    -0.0132    -0.9228     0.5833     0.7714    -0.2544     0.7152    -0.6362    -0.2893
  -21.8314  -233.6908  1694.7467    -0.3400     0.0384    -0.9396     0.6902     0.6888    -0.2216     0.6387    -0.7239    -0.2607
  -22.0934  -233.6410  1693.9637    -0.2942     0.0797    -0.9524     0.7703     0.6097    -0.1869     0.5658    -0.7886    -0.2407
  -22.3239  -233.5614  1693.1593    -0.2564     0.1073    -0.9606     0.8259     0.5406    -0.1601     0.5021    -0.8344    -0.2272
  -22.5317  -233.4623  1692.3354    -0.2318     0.1225    -0.9650     0.8642     0.4813    -0.1465     0.4465    -0.8679    -0.2175
  -22.7268  -233.3528  1691.4976    -0.2200     0.1290    -0.9669     0.8764     0.4613    -0.1379     0.4283    -0.8778    -0.2145
  -22.9169  -233.2392  1690.6539    -0.2167     0.1312    -0.9674     0.3863     0.9216     0.0384     0.8965    -0.3654    -0.2504
